Aluno: Vitor Allace Marques Costa		6 periodo - BCC 2023

PID	|	EXEC	|	TP	|	CP	|	NES	|	nCPU
6		2000		205		206		16		16
7		5000		284		285		15		15
7		5000		304		305		15		16
7		5000		304		305		16		16
8		4000		173		174		15		15
8		4000		182		183		15		16
8		4000		182		183		16		16
9		10000		337		338		15		15
9		10000		340		341		15		16
9		10000		340		341		16		16
0		10000		198		199		16		16
0		10000		200		201		16		17
0		10000		200		201		17		17
1		5000		316		317		16		16
1		5000		318		319		16		17
1		5000		318		319		17		17
2		7000		254		255		16		16
2		7000		260		261		16		17
2		7000		260		261		17		17
3		3000		309		310		16		16
3		3000		325		326		16		17
3		3000		325		326		17		17
4		3000		274		275		16		16
4		3000		282		283		16		17
4		3000		282		283		17		17
5		8000		266		267		16		16
5		8000		291		292		16		17
5		8000		291		292		17		17
6		2000		205		206		16		16
6		2000		234		235		16		17
6		2000		234		235		17		17
7		5000		304		305		16		16
7		5000		308		309		16		17
7		5000		308		309		17		17
8		4000		182		183		16		16
8		4000		195		196		16		17
8		4000		195		196		17		17
9		10000		340		341		16		16
9		10000		354		355		16		17
9		10000		354		355		17		17
0		10000		200		201		17		17
0		10000		203		204		17		18
0		10000		203		204		18		18
1		5000		318		319		17		17
1		5000		330		331		17		18
1		5000		330		331		18		18
2		7000		260		261		17		17
2		7000		267		268		17		18
2		7000		267		268		18		18
3		3000		325		326		17		17
3		3000		334		335		17		18
3		3000		334		335		18		18
4		3000		282		283		17		17
4		3000		310		311		17		18
4		3000		310		311		18		18
5		8000		291		292		17		17
5		8000		315		316		17		18
5		8000		315		316		18		18
6		2000		234		235		17		17
6		2000		236		237		17		18
6		2000		236		237		18		18
7		5000		308		309		17		17
7		5000		312		313		17		18
7		5000		312		313		18		18
8		4000		195		196		17		17
8		4000		216		217		17		18
8		4000		216		217		18		18
9		10000		354		355		17		17
9		10000		360		361		17		18
9		10000		360		361		18		18
0		10000		203		204		18		18
0		10000		236		237		18		19
0		10000		236		237		19		19
1		5000		330		331		18		18
1		5000		360		361		18		19
1		5000		360		361		19		19
2		7000		267		268		18		18
2		7000		273		274		18		19
2		7000		273		274		19		19
3		3000		334		335		18		18
3		3000		338		339		18		19
3		3000		338		339		19		19
4		3000		310		311		18		18
4		3000		404		405		18		19
4		3000		404		405		19		19
5		8000		315		316		18		18
5		8000		325		326		18		19
5		8000		325		326		19		19
6		2000		236		237		18		18
6		2000		242		243		18		19
